num_vehicles,avg_load_per_vehicle,load_utilization_pct,total_distance,avg_route_length,max_route_length,min_route_length,empty_capacity_total,scenario_id,run
36,27.86111111111111,92.87037037037037,4222.155510240645,2.7777777777777777,4,2,77.0,1,0
35,28.65714285714286,95.52380952380953,4090.3108384893494,2.857142857142857,4,2,47.0,1,1
36,27.86111111111111,92.87037037037037,4027.7480651071323,2.7777777777777777,4,2,77.0,1,2
36,27.86111111111111,92.87037037037037,4015.725473099887,2.7777777777777777,4,2,77.0,1,3
36,27.86111111111111,92.87037037037037,3937.7924501499206,2.7777777777777777,4,2,77.0,1,4
37,27.10810810810811,90.36036036036036,3974.4682892887595,2.7027027027027026,4,2,107.0,1,5
36,27.86111111111111,92.87037037037037,4014.8894431841222,2.7777777777777777,4,2,77.0,1,6
36,27.86111111111111,92.87037037037037,4185.724290176305,2.7777777777777777,4,2,77.0,1,7
36,27.86111111111111,92.87037037037037,4001.081273272322,2.7777777777777777,4,2,77.0,1,8
36,27.86111111111111,92.87037037037037,3929.4722215938223,2.7777777777777777,4,2,77.0,1,9
36,27.86111111111111,92.87037037037037,3984.025187124238,2.7777777777777777,4,2,77.0,1,10
36,27.86111111111111,92.87037037037037,3979.903357643258,2.7777777777777777,4,2,77.0,1,11
36,27.86111111111111,92.87037037037037,4115.082046805347,2.7777777777777777,5,2,77.0,1,12
35,28.65714285714286,95.52380952380953,4287.135345511244,2.857142857142857,4,2,47.0,1,13
36,27.86111111111111,92.87037037037037,4013.1948606092246,2.7777777777777777,4,2,77.0,1,14
36,27.86111111111111,92.87037037037037,3967.6953591578576,2.7777777777777777,5,2,77.0,1,15
36,27.86111111111111,92.87037037037037,4067.0830881461934,2.7777777777777777,4,2,77.0,1,16
37,27.10810810810811,90.36036036036036,3884.985501132539,2.7027027027027026,4,2,107.0,1,17
36,27.86111111111111,92.87037037037037,4176.55875679772,2.7777777777777777,5,2,77.0,1,18
37,27.10810810810811,90.36036036036036,3955.3563727499154,2.7027027027027026,5,2,107.0,1,19
37,27.10810810810811,90.36036036036036,3907.578914771264,2.7027027027027026,5,1,107.0,1,20
35,28.65714285714286,95.52380952380953,4111.4805936838375,2.857142857142857,4,2,47.0,1,21
36,27.86111111111111,92.87037037037037,4139.669937691559,2.7777777777777777,4,2,77.0,1,22
36,27.86111111111111,92.87037037037037,4037.1566618085426,2.7777777777777777,4,2,77.0,1,23
36,27.86111111111111,92.87037037037037,4033.3483423692146,2.7777777777777777,4,2,77.0,1,24
36,27.86111111111111,92.87037037037037,3923.7932940477094,2.7777777777777777,4,2,77.0,1,25
36,27.86111111111111,92.87037037037037,4101.174704055163,2.7777777777777777,4,2,77.0,1,26
36,27.86111111111111,92.87037037037037,4105.276716887205,2.7777777777777777,4,2,77.0,1,27
36,27.86111111111111,92.87037037037037,4140.290999227844,2.7777777777777777,4,2,77.0,1,28
37,27.10810810810811,90.36036036036036,3947.6795958138514,2.7027027027027026,4,2,107.0,1,29
73,27.28767123287671,90.95890410958903,8559.646230614077,2.73972602739726,4,2,198.0,2,0
72,27.666666666666668,92.22222222222223,8280.526585836567,2.7777777777777777,4,2,168.0,2,1
72,27.666666666666668,92.22222222222223,8468.102589437853,2.7777777777777777,4,2,168.0,2,2
72,27.666666666666668,92.22222222222223,8647.987306882087,2.7777777777777777,4,2,168.0,2,3
72,27.666666666666668,92.22222222222223,8805.36709150694,2.7777777777777777,4,2,168.0,2,4
71,28.056338028169016,93.52112676056339,9076.217738831518,2.816901408450704,5,2,138.0,2,5
72,27.666666666666668,92.22222222222223,8643.516794431629,2.7777777777777777,4,1,168.0,2,6
72,27.666666666666668,92.22222222222223,8602.657862894332,2.7777777777777777,4,2,168.0,2,7
72,27.666666666666668,92.22222222222223,8531.764661350502,2.7777777777777777,4,2,168.0,2,8
73,27.28767123287671,90.95890410958903,8495.674629087229,2.73972602739726,5,2,198.0,2,9
72,27.666666666666668,92.22222222222223,8567.835340712643,2.7777777777777777,4,2,168.0,2,10
71,28.056338028169016,93.52112676056339,8689.233546854666,2.816901408450704,4,2,138.0,2,11
72,27.666666666666668,92.22222222222223,8599.981328230237,2.7777777777777777,4,2,168.0,2,12
72,27.666666666666668,92.22222222222223,8412.139231688308,2.7777777777777777,5,2,168.0,2,13
73,27.28767123287671,90.95890410958903,8686.248891002726,2.73972602739726,4,2,198.0,2,14
73,27.28767123287671,90.95890410958903,8424.158334429669,2.73972602739726,4,2,198.0,2,15
72,27.666666666666668,92.22222222222223,8428.878010208402,2.7777777777777777,5,2,168.0,2,16
72,27.666666666666668,92.22222222222223,8824.007931355369,2.7777777777777777,5,2,168.0,2,17
71,28.056338028169016,93.52112676056339,8739.504167114124,2.816901408450704,5,2,138.0,2,18
73,27.28767123287671,90.95890410958903,8697.441313803209,2.73972602739726,4,2,198.0,2,19
73,27.28767123287671,90.95890410958903,8666.367174748859,2.73972602739726,4,2,198.0,2,20
73,27.28767123287671,90.95890410958903,8565.886325119685,2.73972602739726,5,2,198.0,2,21
74,26.91891891891892,89.72972972972974,8508.88747172278,2.7027027027027026,5,2,228.0,2,22
73,27.28767123287671,90.95890410958903,8282.46522519914,2.73972602739726,4,2,198.0,2,23
73,27.28767123287671,90.95890410958903,8786.988472169118,2.73972602739726,4,2,198.0,2,24
72,27.666666666666668,92.22222222222223,8584.815981422336,2.7777777777777777,4,2,168.0,2,25
72,27.666666666666668,92.22222222222223,8520.695816452771,2.7777777777777777,4,2,168.0,2,26
73,27.28767123287671,90.95890410958903,8292.354794385552,2.73972602739726,4,2,198.0,2,27
72,27.666666666666668,92.22222222222223,8500.729892962492,2.7777777777777777,4,2,168.0,2,28
73,27.28767123287671,90.95890410958903,8645.964732379023,2.73972602739726,5,2,198.0,2,29
15,27.866666666666667,92.88888888888889,2912.566270508065,6.666666666666667,9,4,32.0,3,0
15,27.866666666666667,92.88888888888889,2706.0973066951697,6.666666666666667,11,3,32.0,3,1
15,27.866666666666667,92.88888888888889,2702.3353656748614,6.666666666666667,10,5,32.0,3,2
15,27.866666666666667,92.88888888888889,2661.562708303814,6.666666666666667,10,4,32.0,3,3
15,27.866666666666667,92.88888888888889,2650.1171188897592,6.666666666666667,10,4,32.0,3,4
15,27.866666666666667,92.88888888888889,2760.345220739027,6.666666666666667,11,4,32.0,3,5
15,27.866666666666667,92.88888888888889,2683.3708639369115,6.666666666666667,10,4,32.0,3,6
15,27.866666666666667,92.88888888888889,2724.32982459419,6.666666666666667,9,4,32.0,3,7
15,27.866666666666667,92.88888888888889,2782.372719092198,6.666666666666667,9,5,32.0,3,8
15,27.866666666666667,92.88888888888889,2781.6763132794254,6.666666666666667,9,4,32.0,3,9
15,27.866666666666667,92.88888888888889,2888.5438702708593,6.666666666666667,10,2,32.0,3,10
15,27.866666666666667,92.88888888888889,2664.964353019025,6.666666666666667,10,4,32.0,3,11
15,27.866666666666667,92.88888888888889,2495.134671720447,6.666666666666667,9,4,32.0,3,12
15,27.866666666666667,92.88888888888889,2681.129119886411,6.666666666666667,9,4,32.0,3,13
15,27.866666666666667,92.88888888888889,2692.932801819375,6.666666666666667,9,4,32.0,3,14
15,27.866666666666667,92.88888888888889,2801.659431056484,6.666666666666667,9,5,32.0,3,15
15,27.866666666666667,92.88888888888889,2693.9956260212707,6.666666666666667,11,2,32.0,3,16
15,27.866666666666667,92.88888888888889,2889.0023190767465,6.666666666666667,10,4,32.0,3,17
15,27.866666666666667,92.88888888888889,2694.434196686301,6.666666666666667,11,4,32.0,3,18
15,27.866666666666667,92.88888888888889,2680.407737267603,6.666666666666667,12,4,32.0,3,19
15,27.866666666666667,92.88888888888889,2779.3482479009526,6.666666666666667,10,4,32.0,3,20
15,27.866666666666667,92.88888888888889,2770.9026184967324,6.666666666666667,9,4,32.0,3,21
15,27.866666666666667,92.88888888888889,2924.2878530660587,6.666666666666667,9,5,32.0,3,22
15,27.866666666666667,92.88888888888889,2590.3757420040556,6.666666666666667,9,5,32.0,3,23
15,27.866666666666667,92.88888888888889,2735.1203780292376,6.666666666666667,10,3,32.0,3,24
15,27.866666666666667,92.88888888888889,2587.107437650422,6.666666666666667,10,4,32.0,3,25
15,27.866666666666667,92.88888888888889,2725.6786386745443,6.666666666666667,9,4,32.0,3,26
15,27.866666666666667,92.88888888888889,2660.76782343574,6.666666666666667,9,4,32.0,3,27
15,27.866666666666667,92.88888888888889,2703.3396739986174,6.666666666666667,9,4,32.0,3,28
15,27.866666666666667,92.88888888888889,2571.53710933775,6.666666666666667,11,4,32.0,3,29
56,17.910714285714285,89.55357142857142,5091.12030873263,1.7857142857142858,3,1,117.0,4,0
55,18.236363636363638,91.18181818181819,5124.356966049624,1.8181818181818181,3,1,97.0,4,1
55,18.236363636363638,91.18181818181819,5154.929331501293,1.8181818181818181,2,1,97.0,4,2
56,17.910714285714285,89.55357142857142,5152.703576527635,1.7857142857142858,3,1,117.0,4,3
55,18.236363636363638,91.18181818181819,5135.851690530924,1.8181818181818181,3,1,97.0,4,4
56,17.910714285714285,89.55357142857142,5126.585047774004,1.7857142857142858,3,1,117.0,4,5
55,18.236363636363638,91.18181818181819,5151.011245760086,1.8181818181818181,3,1,97.0,4,6
54,18.574074074074073,92.87037037037035,5075.610799790916,1.8518518518518519,3,1,77.0,4,7
56,17.910714285714285,89.55357142857142,5130.043429954817,1.7857142857142858,3,1,117.0,4,8
55,18.236363636363638,91.18181818181819,5251.117052598025,1.8181818181818181,3,1,97.0,4,9
56,17.910714285714285,89.55357142857142,5114.297725337126,1.7857142857142858,3,1,117.0,4,10
55,18.236363636363638,91.18181818181819,5180.738946255999,1.8181818181818181,2,1,97.0,4,11
56,17.910714285714285,89.55357142857142,5007.498869457497,1.7857142857142858,3,1,117.0,4,12
54,18.574074074074073,92.87037037037035,5050.310594340085,1.8518518518518519,3,1,77.0,4,13
54,18.574074074074073,92.87037037037035,5121.281296291952,1.8518518518518519,3,1,77.0,4,14
55,18.236363636363638,91.18181818181819,5161.581347097424,1.8181818181818181,3,1,97.0,4,15
55,18.236363636363638,91.18181818181819,5053.9738418362285,1.8181818181818181,3,1,97.0,4,16
56,17.910714285714285,89.55357142857142,5119.42820345891,1.7857142857142858,3,1,117.0,4,17
56,17.910714285714285,89.55357142857142,5058.612200630984,1.7857142857142858,3,1,117.0,4,18
55,18.236363636363638,91.18181818181819,5170.570189871458,1.8181818181818181,3,1,97.0,4,19
55,18.236363636363638,91.18181818181819,5190.140851883106,1.8181818181818181,3,1,97.0,4,20
57,17.596491228070175,87.98245614035088,5047.7316221910705,1.7543859649122806,3,1,137.0,4,21
55,18.236363636363638,91.18181818181819,5169.936779352902,1.8181818181818181,3,1,97.0,4,22
55,18.236363636363638,91.18181818181819,5077.1902625481125,1.8181818181818181,3,1,97.0,4,23
57,17.596491228070175,87.98245614035088,5131.397577730468,1.7543859649122806,3,1,137.0,4,24
54,18.574074074074073,92.87037037037035,5115.65497302333,1.8518518518518519,2,1,77.0,4,25
55,18.236363636363638,91.18181818181819,5048.34302402702,1.8181818181818181,3,1,97.0,4,26
56,17.910714285714285,89.55357142857142,5083.3624118307935,1.7857142857142858,3,1,117.0,4,27
56,17.910714285714285,89.55357142857142,5073.43012973863,1.7857142857142858,3,1,117.0,4,28
55,18.236363636363638,91.18181818181819,4995.720597180413,1.8181818181818181,3,1,97.0,4,29
22,45.59090909090909,91.18181818181819,3164.2618100293407,4.545454545454546,7,3,97.0,5,0
22,45.59090909090909,91.18181818181819,2947.5319153081305,4.545454545454546,6,2,97.0,5,1
21,47.76190476190476,95.52380952380952,3208.0446019663673,4.761904761904762,6,4,47.0,5,2
21,47.76190476190476,95.52380952380952,3356.671697689604,4.761904761904762,7,4,47.0,5,3
21,47.76190476190476,95.52380952380952,3147.848445654475,4.761904761904762,6,4,47.0,5,4
21,47.76190476190476,95.52380952380952,3181.6498886800205,4.761904761904762,6,4,47.0,5,5
21,47.76190476190476,95.52380952380952,3338.2813862782536,4.761904761904762,7,3,47.0,5,6
21,47.76190476190476,95.52380952380952,3261.99432643145,4.761904761904762,6,3,47.0,5,7
21,47.76190476190476,95.52380952380952,3398.1486519834866,4.761904761904762,6,4,47.0,5,8
21,47.76190476190476,95.52380952380952,3168.4740348649084,4.761904761904762,7,4,47.0,5,9
21,47.76190476190476,95.52380952380952,3150.762413948919,4.761904761904762,7,4,47.0,5,10
21,47.76190476190476,95.52380952380952,3414.5222307336853,4.761904761904762,6,4,47.0,5,11
21,47.76190476190476,95.52380952380952,3400.406872247019,4.761904761904762,6,3,47.0,5,12
21,47.76190476190476,95.52380952380952,3192.8401929358315,4.761904761904762,6,3,47.0,5,13
22,45.59090909090909,91.18181818181819,3298.0385518479,4.545454545454546,6,3,97.0,5,14
21,47.76190476190476,95.52380952380952,3256.236696292088,4.761904761904762,6,3,47.0,5,15
21,47.76190476190476,95.52380952380952,3288.409391091663,4.761904761904762,6,4,47.0,5,16
21,47.76190476190476,95.52380952380952,3108.274327822647,4.761904761904762,6,4,47.0,5,17
21,47.76190476190476,95.52380952380952,3491.669090861903,4.761904761904762,6,4,47.0,5,18
21,47.76190476190476,95.52380952380952,3164.192348045656,4.761904761904762,6,4,47.0,5,19
21,47.76190476190476,95.52380952380952,3172.895993927551,4.761904761904762,7,4,47.0,5,20
21,47.76190476190476,95.52380952380952,3157.0947189023677,4.761904761904762,6,3,47.0,5,21
21,47.76190476190476,95.52380952380952,3286.466434663861,4.761904761904762,6,4,47.0,5,22
21,47.76190476190476,95.52380952380952,3041.538190063272,4.761904761904762,7,4,47.0,5,23
21,47.76190476190476,95.52380952380952,3282.0953738336093,4.761904761904762,6,3,47.0,5,24
21,47.76190476190476,95.52380952380952,3413.910674159092,4.761904761904762,6,3,47.0,5,25
22,45.59090909090909,91.18181818181819,2918.865108307178,4.545454545454546,6,3,97.0,5,26
22,45.59090909090909,91.18181818181819,3148.751004785355,4.545454545454546,7,3,97.0,5,27
21,47.76190476190476,95.52380952380952,3254.5118295975267,4.761904761904762,6,4,47.0,5,28
22,45.59090909090909,91.18181818181819,3075.0101540533433,4.545454545454546,6,3,97.0,5,29
